1girl,1女孩
solo,单人
highres,高分辨率
long_hair,长发
breasts,胸部|乳房
looking_at_viewer,看着你
blush,脸红
smile,微笑|笑容
short_hair,短发
open_mouth,张嘴
bangs,刘海
blue_eyes,蓝眼
multiple_girls,多女孩
skirt,短裙
blonde_hair,金发
large_breasts,大胸部（D
brown_hair,棕发
simple_background,简单背景
shirt,衬衫
black_hair,黑发
hair_ornament,发饰
absurdres,超高分辨率
red_eyes,红眼
thighhighs,过膝袜或裤袜
hat,帽子
gloves,手套
1boy,1男孩
bad_id,ID转向错误（原地址或已被删除）
long_sleeves,长袖
white_background,白色背景
dress,连衣裙
original,原创
ribbon,丝带|缎带
bow,蝴蝶结
touhou,东方
navel,肚脐
2girls,2女孩
holding,拿着
animal_ears,兽耳
cleavage,乳沟
hair_between_eyes,两眼之间的头发
bare_shoulders,露肩
brown_eyes,棕眼
twintails,双马尾
medium_breasts,中等胸部（C
jewelry,首饰|珠宝
sitting,坐
very_long_hair,很长的头发
underwear,内衣
closed_mouth,闭嘴
nipples,乳头
school_uniform,校服
green_eyes,绿眼
blue_hair,蓝发
standing,站立
purple_eyes,紫眼
collarbone,锁骨
panties,内裤|短裤
monochrome,单色
tail,尾巴
jacket,夹克
translated,已翻译
swimsuit,泳装
full_body,全身
closed_eyes,闭眼
hair_ribbon,发带|发绳
yellow_eyes,黄眼
weapon,武器
ponytail,马尾
upper_body,上半身
purple_hair,紫发
white_shirt,白衬衫
pink_hair,粉发
ass,屁股
comic,漫画
braid,辫子|三股辫
flower,花
ahoge,呆毛
short_sleeves,短袖
hair_bow,蝴蝶结发饰
greyscale,灰度
hetero,异性
white_hair,白发
male_focus,男性焦点
heart,心|心形|爱心
pantyhose,连裤袜
bikini,比基尼
sidelocks,耳前发
thighs,大腿
nude,裸体
red_hair,红发
cowboy_shot,牛仔特写|七分身镜头
pleated_skirt,百褶裙
sweat,汗
hairband,发卡|发箍
multicolored_hair,多色头发
translation_request,翻译
earrings,耳环
small_breasts,小胸部（B
grey_hair,灰发
boots,靴子
lying,躺着
censored,受限的|有码
outdoors,室外|户外|野战
frills,花边
